Designator,Mid X,Mid Y,Rotation,Layer
C1,8.5,26.0,90.0,top
C10,10.0,15.25,90.0,top
C11,6.5,45.5,90.0,top
C12,11.75,48.25,180.0,top
C13,26.25,38.75,0.0,top
C14,8.5,45.5,90.0,top
C15,11.5,28.5,180.0,top
C16,13.5,20.25,180.0,top
C17,19.25,27.25,0.0,top
C18,15.25,42.0,270.0,top
C19,18.0,41.0,0.0,top
C2,24.0,43.75,270.0,top
C20,53.25,38.75,180.0,top
C21,18.0,43.0,0.0,top
C22,13.25,42.0,270.0,top
C23,57.25,41.0,90.0,top
C24,55.5,38.75,0.0,top
C25,44.23,37.75,180.0,top
C26,35.73,41.27,270.0,top
C27,39.73,41.27,270.0,top
C28,32.75,47.25,270.0,top
C29,30.0,42.75,0.0,top
C3,10.5,43.5,0.0,top
C30,33.75,40.25,270.0,top
C31,6.5,48.25,180.0,top
C32,55.5,46.75,90.0,top
C33,45.5,46.75,90.0,top
C34,60.5,46.75,90.0,top
C35,47.0,46.75,270.0,top
C4,13.0,11.75,180.0,top
C5,10.5,26.0,90.0,top
C6,12.0,26.0,90.0,top
C7,22.75,38.75,0.0,top
C9,25.0,43.75,270.0,top
D1,20.75,31.2875,270.0,top
D2,14.5,46.25,270.0,top
D3,17.25,14.0,90.0,top
FID1,3.0,45.0,0.0,top
FID2,63.0,47.0,0.0,top
FID3,20.0,6.0,0.0,top
H1,3.5,52.5,0.0,top
H2,61.5,52.5,0.0,top
H3,3.5,3.5,0.0,top
H5,3.0,39.0,0.0,top
H6,61.0,38.0,0.0,top
H7,3.0,9.0,0.0,top
J1,12.5,7.0,180.0,top
J2,22.73,47.0,270.0,top
J3,32.5,52.5,270.0,bottom
J4,26.25,21.75,0.0,top
J5,26.25,31.75,0.0,top
JP1,42.025,39.9,270.0,top
JP2,26.48,13.0,270.0,top
L1,13.5,34.5,0.0,top
NT1,18.75,24.25,270.0,top
R1,14.5,12.25,270.0,top
R10,17.25,26.75,270.0,top
R11,19.25,26.25,0.0,top
R12,16.5,46.99,90.0,top
R13,26.25,16.25,180.0,top
R2,15.5,12.25,90.0,top
R3,19.25,28.25,180.0,top
R4,17.559456,24.750995,180.0,top
R5,13.0,46.25,270.0,top
R6,9.0,15.25,90.0,top
R7,15.0,13.75,180.0,top
R8,12.75,16.0,180.0,top
R9,14.5,15.25,270.0,top
TP1,22.7775,36.5,0.0,top
TP2,8.0,12.75,0.0,top
TP3,26.25,36.5,0.0,top
TP4,8.0,17.75,0.0,top
TP5,7.0,41.5,90.0,top
TP6,31.75,44.5,0.0,top
U1,22.75,41.5,270.0,top
U10,53.25,46.75,90.0,top
U11,43.25,46.75,90.0,top
U12,58.25,46.75,90.0,top
U13,49.25,46.75,270.0,top
U2,11.0,45.75,180.0,top
U3,12.25,14.0,180.0,top
U4,26.25,41.5,270.0,top
U5,14.75,27.0,180.0,top
U6,54.5,41.5,0.0,top
U7,47.25,41.0,90.0,top
U8,35.75,46.25,0.0,top
U9,31.0,40.5,0.0,top
Y1,37.73,41.27,0.0,top
